rank,fhrsid,business_name,postcode,category,category_source,is_food,confidence,confidence_margin,fsa_tier_score,google_tier_score,online_tier_score,ops_tier_score,menu_tier_score,reputation_tier_score,rcs_final,rcs_band,convergence,quality_score,digital_presence_score,signals_available,signals_total,observed_signals,inferred_signals,provenance_ratio,sentiment_score,red_flag_count,red_flags,companies_house_status
91,503032,The Spice Room,B49 5AD,Indian Restaurant,google_types,True,Medium,0.5,8.471,8.723,,10.0,3.333,,8.489,Excellent,converged(avg_div=0.080),7.451,3.333,16,40,10,6,0.62,0.8,0,,not_checked
92,503918,Southam Gateway Coffee Shop Ltd,CV47 0EP,Cafe / Coffee Shop,google_types,True,Low,0.8,7.97,7.241,,10.0,,,8.485,Excellent,converged(avg_div=0.060),6.598,3.333,16,40,11,5,0.69,0.54,0,,not_checked
93,503820,Cafe 16,CV47 0HF,Cafe / Coffee Shop,google_types,True,Medium,0.5,8.36,8.853,,10.0,3.333,,8.453,Excellent,converged(avg_div=0.060),7.548,3.333,19,40,11,8,0.58,0.85,0,,not_checked
94,504026,Ragley Hall Catering,B49 5NJ,Hotel / Accommodation,name_match,True,Low,0.8,8.064,9.387,,,,,8.453,Excellent,converged(avg_div=0.080),8.355,3.333,13,40,10,3,0.77,0.7,0,,not_checked
95,1847445,Soma,CV37 6EX,Cafe / Coffee Shop,google_types,True,Low,0.8,8.596,8.137,,,,,8.45,Excellent,converged(avg_div=0.000),8.699,3.333,15,40,10,5,0.67,0.75,0,,not_checked
96,1584577,Shakespeare's,B94 5JU,Other,unclassified,True,Low,0.8,6.997,9.275,,10.0,,,8.424,Excellent,converged(avg_div=0.100),7.732,3.333,15,40,10,5,0.67,0.62,0,,not_checked
97,503931,Bella Italia Also Trading As Super Nonna,CV37 6JG,Italian Restaurant,google_types,True,Low,0.8,7.948,9.232,,,10.0,,8.409,Excellent,neutral(avg_div=0.140),8.987,3.333,18,40,11,7,0.61,0.8,0,,not_checked
98,1838728,Elders Who Lunch (Hartley Locums),CV47 8LS,Other,unclassified,True,Low,0.8,7.669,7.593,,10.0,,,8.399,Excellent,converged(avg_div=0.020),8.223,3.333,15,40,10,5,0.67,0.7,0,,not_checked
99,1672980,Greggs PLC,B49 6EH,Bakery / Desserts,google_types,True,Low,0.8,9.353,5.79,,10.0,,,8.398,Excellent,mild_divergence(avg_div=0.280),5.462,3.333,15,40,11,4,0.73,0.34,0,,not_checked
100,1908606,Bruno's Bakery,B80 7HJ,Fast Food / Quick Service,google_types,True,Medium,0.5,8.173,9.064,,10.0,3.333,,8.391,Excellent,converged(avg_div=0.080),7.877,3.333,20,40,11,9,0.55,1.0,0,,not_checked
101,1266894,Barnabys,CV37 6BA,British Restaurant,google_types,True,Medium,0.5,8.823,8.497,,10.0,3.333,,8.389,Excellent,neutral(avg_div=0.200),6.844,3.333,19,40,11,8,0.58,0.67,0,,not_checked
102,502838,Alveston Manor Hotel,CV37 7HP,Hotel / Accommodation,google_types,True,Low,0.8,8.64,9.482,,,,,8.367,Excellent,mild_divergence(avg_div=0.220),9.547,3.333,15,40,10,5,0.67,1.0,0,,not_checked
103,1552328,The Phoenix,CV37 6QY,Italian Restaurant,google_types,True,Medium,0.5,8.18,8.895,,10.0,3.333,,8.359,Excellent,converged(avg_div=0.060),7.378,3.333,18,40,11,7,0.61,0.8,0,,not_checked
104,503541,Costa,CV37 0UA,Food & Drink,google_types,True,Low,0.8,7.964,7.688,,10.0,,,8.339,Excellent,neutral(avg_div=0.200),7.148,3.333,17,40,11,6,0.65,0.6,0,,not_checked
105,1206075,Dec X Canteen,CV35 0RR,Cafe / Coffee Shop,name_match,True,Low,0.8,7.975,9.189,,,,,8.332,Excellent,converged(avg_div=0.060),8.325,3.333,12,40,10,2,0.83,0.7,0,,not_checked
106,1827674,Pickled & Tipsy's Cafe,CV47 1PH,Takeaway,google_types,True,Medium,0.5,8.487,7.922,,10.0,3.333,,8.33,Excellent,converged(avg_div=0.060),6.955,3.333,17,40,10,7,0.59,0.6,0,,not_checked
107,503772,McDonald's,CV37 6AB,American / Grill,google_types,True,Medium,0.5,7.967,8.55,,10.0,10.0,,8.329,Excellent,mild_divergence(avg_div=0.240),8.367,3.333,18,40,11,7,0.61,0.55,0,,not_checked
108,676557,Plantarium,CV37 6NF,Vegan / Vegetarian,google_types,True,Medium,0.5,7.545,8.849,,10.0,6.667,,8.329,Excellent,converged(avg_div=0.020),7.963,3.333,18,40,11,7,0.61,1.0,0,,not_checked
109,503972,The George Hotel,CV36 4AJ,British Restaurant,google_types,True,Medium,0.5,7.931,9.214,,10.0,3.333,,8.286,Excellent,converged(avg_div=0.100),7.437,3.333,19,40,11,8,0.58,0.92,0,,not_checked
110,1712197,The Sandwich Shop,B95 5AT,Fast Food / Quick Service,google_types,True,Low,0.8,7.137,8.355,,10.0,,,8.281,Excellent,converged(avg_div=0.000),9.046,3.333,16,40,10,6,0.62,1.0,0,,not_checked
111,1302779,The Olde Mint,CV47 0EP,Pub / Bar,google_types,True,Low,0.8,7.763,7.795,,10.0,,,8.253,Excellent,neutral(avg_div=0.200),8.254,3.333,14,40,11,3,0.79,0.7,0,,not_checked
112,1622076,Caffe Nero,CV37 6AN,Cafe / Coffee Shop,google_types,True,Low,0.8,7.42,8.515,,10.0,,,8.233,Excellent,neutral(avg_div=0.160),7.94,3.333,16,40,11,5,0.69,0.7,0,,not_checked
113,1743693,The Food Of Love,CV37 6QW,Fast Food / Quick Service,google_types,True,Medium,0.5,8.472,8.654,,10.0,3.333,,8.228,Excellent,neutral(avg_div=0.140),7.576,3.333,19,40,11,8,0.58,0.85,0,,not_checked
