rank,fhrsid,business_name,postcode,category,category_source,is_food,confidence,confidence_margin,fsa_tier_score,google_tier_score,online_tier_score,ops_tier_score,menu_tier_score,reputation_tier_score,rcs_final,rcs_band,convergence,quality_score,digital_presence_score,signals_available,signals_total,observed_signals,inferred_signals,provenance_ratio,sentiment_score,red_flag_count,red_flags,companies_house_status
81,503732,Pizza Hut Restaurants - Dine In,CV37 0HZ,Italian Restaurant,google_types,True,Medium,0.5,7.943,8.609,,10.0,10.0,,8.578,Excellent,converged(avg_div=0.100),8.261,3.333,17,40,11,6,0.65,0.75,1,dirty,not_checked
82,1388303,Lily's,CV37 6LU,Restaurant (General),google_types,True,Low,0.8,7.299,9.06,,10.0,,,8.543,Excellent,converged(avg_div=0.040),8.6,3.333,17,40,10,7,0.59,0.85,0,,not_checked
83,1388310,The Coach House,CV37 6LP,Pub / Bar,google_types,True,Low,0.8,7.769,9.018,,10.0,,,8.543,Excellent,neutral(avg_div=0.160),8.923,3.333,16,40,11,5,0.69,0.9,0,,not_checked
84,504014,The Kings Head,CV35 9LT,British Restaurant,google_types,True,Medium,0.5,8.744,9.456,,10.0,3.333,,8.54,Excellent,neutral(avg_div=0.120),8.019,3.333,18,40,11,7,0.61,1.0,0,,not_checked
85,503781,The Bishops Fryer,CV47 2RN,Takeaway,google_types,True,Low,0.8,8.514,7.226,,10.0,,,8.533,Excellent,neutral(avg_div=0.140),6.696,3.333,17,40,11,6,0.65,0.47,0,,not_checked
86,1747702,Beleza Rodizio,CV37 6EX,American / Grill,google_types,True,Medium,0.5,8.104,9.811,,10.0,3.333,,8.508,Excellent,converged(avg_div=0.020),7.734,3.333,16,40,10,6,0.62,1.0,0,,not_checked
87,503081,Sans Oriental Restaurant,B95 5AT,Chinese Restaurant,google_types,True,Medium,0.5,8.354,9.095,,10.0,3.333,,8.5,Excellent,converged(avg_div=0.080),7.922,3.333,18,40,11,7,0.61,1.0,0,,not_checked
88,502816,Loxleys Restaurant And Wine Bar,CV37 6EF,British Restaurant,google_types,True,Medium,0.5,8.405,8.935,,10.0,3.333,,8.496,Excellent,converged(avg_div=0.060),7.345,3.333,18,40,11,7,0.61,1.0,0,,not_checked
89,503369,Studley Castle,B80 7AJ,Hotel / Accommodation,google_types,True,Low,0.8,7.964,9.75,,,,,8.492,Excellent,converged(avg_div=0.100),9.321,3.333,14,40,10,4,0.71,1.0,0,,not_checked
90,1799218,Pizza Junction Kineton Ltd,CV35 0LN,Italian Restaurant,google_types,True,Medium,0.5,8.391,8.949,,10.0,3.333,,8.491,Excellent,converged(avg_div=0.040),7.306,3.333,17,40,10,7,0.59,0.75,0,,not_checked
