id,fhrsid,name,rcs_v4_final,base_score,adjusted_score,confidence_class,coverage_status,rankable,league_table_eligible,companies_house,penalties,caps
564564,564564,"Nuffield Health, Fitness & Wellbeing Centre",8.105,8.105,8.105,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1093337,1093337,Hatton Adventure World,8.39,8.39,8.39,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1171053,1171053,Caffe Nero @ Wellness Centre & Sports Hub,8.085,8.085,8.085,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242282,242282,Ronnie's of Warwick,8.569,8.569,8.569,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241698,241698,Coventry Golf Club,8.18,8.18,8.18,Rankable-B,coverage-ready,True,True,matched,[],[]
242046,242046,L'Aurent,7.185,7.185,7.185,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1616132,1616132,Rosa's London Ltd,9.163,9.163,9.163,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1086598,1086598,Temperance Bar,8.836,8.836,8.836,Rankable-B,coverage-ready,True,True,unmatched,[],[]
699006,699006,The Old Post Office,8.55,8.55,8.55,Rankable-B,coverage-ready,True,True,unmatched,[],[]
351810,351810,Tavola,8.611,8.611,8.611,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1229924,1229924,Forrest Coffee House,8.421,8.421,8.421,Rankable-B,coverage-ready,True,True,matched,[],[]
699062,699062,Rangoli Indian Bistro,8.64,8.64,8.64,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241543,241543,Baxter Storey at Severn Trent Water Finham,7.509,7.509,7.509,Directional-C,coverage-partial,False,False,unmatched,[],[]
241598,241598,Kenilworth Golf Club,8.35,8.35,8.35,Rankable-B,coverage-ready,True,True,matched,[],[]
1640444,1640444,The Games Den,9.013,9.013,9.013,Rankable-B,coverage-ready,True,True,matched,[],[]
1664040,1664040,Fusion Clan,8.114,8.114,8.114,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=809, r=5""}]"
962328,962328,Dough & Brew,7.971,7.971,7.971,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=877, r=5""}]"
1086658,1086658,Desai,8.877,8.877,8.877,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242217,242217,The Old Library,7.962,7.962,7.962,Rankable-B,coverage-ready,True,True,matched,[],[]
1532929,1532929,The Creative Cafe,8.156,8.156,8.156,Rankable-B,coverage-partial,True,True,unmatched,[],[]
939796,939796,Swallowfield Equestrian,8.376,8.376,8.376,Rankable-B,coverage-ready,True,True,matched,[],[]
241424,241424,Casa Rica -Tortilla Pizza,7.711,7.711,7.711,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241754,241754,Bedford Street,8.389,8.389,8.389,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1030347,1030347,The Micro Pug,8.033,8.033,8.033,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242674,242674,Scarman House & The Slate,8.904,8.904,8.904,Rankable-B,coverage-ready,True,True,unmatched,[],[]
351814,351814,The Station House@Poms,8.468,8.468,8.468,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242689,242689,The Butchers's Bistro,,8.062,8.062,Directional-C,coverage-partial,False,False,unmatched,[],[]
242206,242206,Caffe Nero,7.343,7.343,7.343,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=731, r=5""}]"
243885,243885,Durham Ox,8.56,8.56,8.56,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242577,242577,Greek Zante Street Leamington Spa,8.929,8.929,8.929,Rankable-B,coverage-ready,True,True,unmatched,[],[]
