id,fhrsid,name,rcs_v4_final,base_score,adjusted_score,confidence_class,coverage_status,rankable,league_table_eligible,companies_house,penalties,caps
502962,502962,Curry Republic,7.501,7.501,7.501,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1388303,1388303,Lily's,8.885,8.885,8.885,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1827674,1827674,Pickled & Tipsy's Cafe,8.765,8.765,8.765,Rankable-B,coverage-partial,True,True,unmatched,[],[]
502877,502877,DoubleTree By Hilton,7.843,7.843,7.843,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503584,503584,Cardamom,9.133,9.133,9.133,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1802818,1802818,11/17 Salt Beef Bar,8.648,8.598,8.648,Rankable-B,coverage-ready,True,False,unmatched,[],[]
1884822,1884822,WINGERS STRATFORD,7.645,7.645,7.645,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1796553,1796553,Mr Odie's,8.999,8.999,8.999,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1381141,1381141,The Bull's Head,9.259,9.259,9.259,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1589295,1589295,The Tempest,8.022,8.022,8.022,Directional-C,coverage-partial,False,False,unmatched,[],[]
502864,502864,Hussains,8.445,8.445,8.445,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1513917,1513917,The Water Margin @ The Hollybush,7.902,7.902,7.902,Directional-C,coverage-partial,False,False,unmatched,[],[]
1672980,1672980,Greggs PLC,8.467,8.467,8.467,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1826838,1826838,Mouchak,7.031,7.031,7.031,Rankable-B,coverage-partial,True,True,unmatched,[],[]
559158,559158,No 37 Cafe,9.041,9.041,9.041,Rankable-B,coverage-ready,True,True,unmatched,[],[]
565221,565221,Costa,8.996,8.996,8.996,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1743693,1743693,The Food Of Love,8.648,8.648,8.648,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503218,503218,Burger King - Southbound,6.587,6.587,6.587,Directional-C,coverage-partial,False,False,unmatched,[],[]
1721314,1721314,Aston Martin Lagonda,8.961,8.961,8.961,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1623426,1623426,Red Hot Mamma Pizzeria,9.498,9.498,9.498,Rankable-B,coverage-ready,True,True,unmatched,[],[]
